restaurant_id,name,zone_id,district,category,price_level,base_prep_time_mean_min,base_prep_time_std_min,capacity_tier,has_consistent_promo,promo_pattern,matchday_sensitivity,latency_pressure_factor
R0021,Chamberi Sweet 0021,Z07,Chamberí,dessert,2,8.5,1.5,large,false,none,low,0.93
R0022,Vical Casa 0022,Z19,Vicálvaro,spanish_tapas,2,16.0,3.5,small,true,healthy_lunch,medium,1.04
R0023,Vical Bodega 0023,Z19,Vicálvaro,spanish_tapas,2,21.2,3.1,medium,false,random_flash,medium,0.84
R0024,Metropolitano Azteca 0024,Z20,San Blas-Canillejas,mexican,1,12.9,2.7,large,true,weekend_discount,high,1.05
R0025,Monte Sweet 0025,Z08,Fuencarral-El Pardo,dessert,2,7.8,1.5,large,true,weekend_discount,low,0.88
R0026,Latina Napoli 0026,Z10,Latina,pizza,2,15.7,3.0,small,true,lunch_combo,medium,1.13
R0027,Cara Sushi 0027,Z11,Carabanchel,sushi,1,19.8,3.4,medium,false,none,medium,0.84
R0028,Bernabeu Express 0028,Z05,Chamartín,fast_food,2,11.7,2.2,medium,false,none,medium,1.39
R0029,Central Bodega 0029,Z01,Centro,spanish_tapas,4,19.6,2.7,large,false,none,medium,1.32
R0030,Bernabeu Smash 0030,Z05,Chamartín,burger,2,13.6,2.4,large,false,none,high,0.99
R0031,Norte Burger 0031,Z06,Tetuán,burger,2,15.5,2.1,medium,false,none,medium,1.37
R0032,River Now 0032,Z02,Arganzuela,grocery_convenience,3,6.1,1.5,small,true,healthy_lunch,medium,0.9
R0033,Verde Tapas 0033,Z17,Villaverde,spanish_tapas,3,18.2,2.5,medium,false,none,medium,1.13
R0034,Latina Express 0034,Z10,Latina,fast_food,3,12.2,2.3,small,false,none,medium,0.95
R0035,Vical Mesón 0035,Z19,Vicálvaro,spanish_tapas,2,17.8,2.5,large,false,none,medium,1.31
R0036,Lineal Tokyo 0036,Z15,Ciudad Lineal,sushi,3,21.7,4.3,small,false,random_flash,high,0.91
R0037,Morata Napoli 0037,Z14,Moratalaz,pizza,2,17.1,3.3,small,false,none,medium,0.97
R0038,Metropolitano Burger 0038,Z20,San Blas-Canillejas,burger,2,13.2,2.3,large,true,weekend_discount,low,1.26
R0039,Park Corner 0039,Z03,Retiro,fast_food,1,11.7,2.2,medium,false,random_flash,medium,0.9
R0040,Central Shawarma 0040,Z01,Centro,kebab,2,8.8,2.1,medium,false,none,medium,1.02
R0041,Usera Cantina 0041,Z12,Usera,mexican,2,14.3,3.1,medium,true,taco_tuesday_2x1,low,0.9
R0042,Central Patty 0042,Z01,Centro,burger,3,13.4,2.3,medium,false,random_flash,low,1.0
R0043,Metropolitano Roots 0043,Z20,San Blas-Canillejas,healthy,1,11.0,2.0,medium,false,none,medium,0.98
R0044,Golden Burger 0044,Z04,Salamanca,burger,1,15.1,2.7,medium,false,none,medium,1.08
R0045,Vallecas Roma 0045,Z13,Puente de Vallecas,pizza,1,15.9,3.1,medium,true,weekend_discount,low,0.98
R0046,Park Daily 0046,Z03,Retiro,grocery_convenience,2,6.0,1.3,small,false,none,low,0.86
R0047,Aravaca Roma 0047,Z09,Moncloa-Aravaca,pizza,2,15.8,3.2,medium,false,none,low,0.79
R0048,Chamberi Grill 0048,Z07,Chamberí,burger,3,13.8,2.4,small,true,lunch_combo,low,1.41
R0049,Golden Napoli 0049,Z04,Salamanca,pizza,1,16.5,2.4,small,true,lunch_combo,medium,1.24
R0050,Chamberi Corner 0050,Z07,Chamberí,fast_food,2,11.2,1.6,large,false,random_flash,medium,0.7
R0051,Vical Roma 0051,Z19,Vicálvaro,pizza,3,16.9,3.1,medium,false,random_flash,medium,0.95
R0052,Golden Sushi 0052,Z04,Salamanca,sushi,3,19.8,4.4,medium,false,none,low,0.82
R0053,Monte Cream 0053,Z08,Fuencarral-El Pardo,dessert,2,8.8,1.5,medium,true,weekend_discount,medium,1.04
R0054,Golden Roma 0054,Z04,Salamanca,pizza,2,16.9,3.2,medium,false,none,high,1.04
R0055,Metropolitano Burger 0055,Z20,San Blas-Canillejas,burger,2,13.2,2.8,small,true,weekend_discount,high,0.75
R0056,River Grill 0056,Z02,Arganzuela,kebab,3,8.5,1.7,medium,false,none,low,1.03
R0057,Morata Smash 0057,Z14,Moratalaz,burger,1,14.7,2.6,large,true,lunch_combo,low,1.03
R0058,Central Roots 0058,Z01,Centro,healthy,3,11.8,2.3,medium,false,none,low,0.96
R0059,Central Taquería 0059,Z01,Centro,mexican,2,12.2,3.1,medium,true,taco_tuesday_2x1,low,1.09
R0060,Latina Mesón 0060,Z10,Latina,spanish_tapas,1,18.5,3.2,medium,false,none,low,1.2
R0061,Chamberi LaPlaza 0061,Z07,Chamberí,spanish_tapas,3,19.1,2.5,large,false,random_flash,medium,0.83
R0062,Latina Pizza 0062,Z10,Latina,pizza,2,15.5,2.6,small,true,lunch_combo,low,1.19
R0063,Verde Azteca 0063,Z17,Villaverde,mexican,3,14.2,2.7,medium,false,random_flash,low,1.15
R0064,Chamberi Tapas 0064,Z07,Chamberí,spanish_tapas,3,17.4,3.2,small,false,none,medium,1.18
R0065,Aero Loco 0065,Z21,Barajas,mexican,2,12.9,2.3,small,true,taco_tuesday_2x1,medium,1.14
R0066,Morata Grill 0066,Z14,Moratalaz,burger,2,13.8,2.6,medium,false,none,low,1.24
R0067,Bernabeu Oven 0067,Z05,Chamartín,pizza,1,15.3,3.3,medium,false,random_flash,high,1.07
R0068,Horta Sushi 0068,Z16,Hortaleza,sushi,2,19.6,3.5,small,false,none,low,1.04
R0069,Lineal Pizza 0069,Z15,Ciudad Lineal,pizza,2,15.8,3.1,large,true,weekend_discount,medium,0.9
R0070,Aravaca Napoli 0070,Z09,Moncloa-Aravaca,pizza,2,16.2,2.7,medium,false,none,low,1.22
R0071,Bernabeu Grill 0071,Z05,Chamartín,kebab,4,9.8,1.9,small,true,healthy_lunch,high,1.28
R0072,Aravaca Corner 0072,Z09,Moncloa-Aravaca,fast_food,2,10.5,1.8,medium,false,none,low,0.92
R0073,Usera Now 0073,Z12,Usera,grocery_convenience,2,7.1,1.3,small,true,healthy_lunch,medium,0.89
R0074,Park Hub 0074,Z03,Retiro,fast_food,2,11.7,2.0,medium,true,lunch_combo,medium,0.7
R0075,Golden Burrito 0075,Z04,Salamanca,mexican,1,13.9,2.5,small,true,taco_tuesday_2x1,low,1.15
R0076,Horta Taco 0076,Z16,Hortaleza,mexican,4,12.7,2.2,medium,true,weekend_discount,low,0.87
R0077,Villa Stack 0077,Z18,Villa de Vallecas,burger,2,14.8,2.4,small,true,lunch_combo,medium,0.7
R0078,Park Roma 0078,Z03,Retiro,pizza,2,17.6,2.9,medium,true,lunch_combo,medium,0.89
R0079,Metropolitano Napoli 0079,Z20,San Blas-Canillejas,pizza,3,17.9,2.8,small,false,random_flash,medium,1.0
R0080,Chamberi Sushi 0080,Z07,Chamberí,sushi,3,18.1,3.9,medium,true,healthy_lunch,low,0.97
R0081,Latina Grill 0081,Z10,Latina,burger,1,14.8,2.1,medium,true,weekend_discount,low,1.02
R0082,Cara Box 0082,Z11,Carabanchel,fast_food,1,10.8,2.0,medium,true,lunch_combo,medium,0.82
R0083,Park Brothers 0083,Z03,Retiro,kebab,3,9.3,2.0,small,false,none,low,0.89
R0084,Lineal Smash 0084,Z15,Ciudad Lineal,burger,3,13.0,2.8,medium,true,lunch_combo,medium,0.87
R0085,Morata Oven 0085,Z14,Moratalaz,pizza,3,16.7,2.7,large,true,lunch_combo,medium,0.98
R0086,Chamberi Gelato 0086,Z07,Chamberí,dessert,2,7.4,2.1,medium,true,weekend_discount,medium,0.81
R0087,Aravaca Gelato 0087,Z09,Moncloa-Aravaca,dessert,1,8.1,1.5,large,false,none,medium,0.98
R0088,Morata Stack 0088,Z14,Moratalaz,burger,2,13.1,2.7,large,true,lunch_combo,medium,0.72
R0089,Vallecas LaPlaza 0089,Z13,Puente de Vallecas,spanish_tapas,1,19.3,3.5,large,false,none,low,1.11
R0090,River Kebab 0090,Z02,Arganzuela,kebab,2,8.6,1.5,medium,false,random_flash,medium,0.7
R0091,Park Azteca 0091,Z03,Retiro,mexican,2,13.2,2.8,small,false,random_flash,low,1.1
R0092,Aravaca District 0092,Z09,Moncloa-Aravaca,burger,1,14.0,2.7,large,false,random_flash,medium,1.02
R0093,Chamberi Napoli 0093,Z07,Chamberí,pizza,2,17.4,2.8,small,false,none,low,1.03
R0094,River Oven 0094,Z02,Arganzuela,pizza,2,16.8,3.3,medium,true,lunch_combo,low,0.99
R0095,Usera Tapas 0095,Z12,Usera,spanish_tapas,3,17.9,3.5,medium,false,random_flash,low,0.7
R0096,Golden Smash 0096,Z04,Salamanca,burger,2,13.8,2.7,medium,false,none,medium,0.84
R0097,Bernabeu Roll 0097,Z05,Chamartín,sushi,3,23.0,3.7,small,false,random_flash,medium,1.39
R0098,Horta Napoli 0098,Z16,Hortaleza,pizza,3,16.3,3.2,medium,false,none,low,0.88
R0099,Bernabeu Go 0099,Z05,Chamartín,fast_food,1,12.3,2.2,large,false,none,medium,1.03
R0100,Norte Tapas 0100,Z06,Tetuán,spanish_tapas,1,18.7,3.3,small,false,none,medium,1.12
R0101,Norte Garden 0101,Z06,Tetuán,healthy,1,12.7,2.4,small,true,healthy_lunch,low,0.85
R0102,Villa Roma 0102,Z18,Villa de Vallecas,pizza,1,16.2,3.4,small,true,weekend_discount,low,1.01
R0103,Norte Pizzeria 0103,Z06,Tetuán,pizza,2,14.8,3.1,large,false,random_flash,low,0.94
R0104,Latina Mart 0104,Z10,Latina,grocery_convenience,1,6.6,1.8,large,true,healthy_lunch,low,1.14
R0105,Monte Mart 0105,Z08,Fuencarral-El Pardo,grocery_convenience,1,6.8,1.8,medium,true,healthy_lunch,medium,1.47
R0106,Cara Market 0106,Z11,Carabanchel,grocery_convenience,2,7.0,1.5,small,false,none,medium,1.09
R0107,Golden Cookie 0107,Z04,Salamanca,dessert,3,8.2,1.6,large,false,none,medium,0.86
R0108,Lineal Go 0108,Z15,Ciudad Lineal,fast_food,1,10.3,2.1,small,true,lunch_combo,high,1.25
R0109,Norte Go 0109,Z06,Tetuán,fast_food,2,11.1,1.7,medium,false,none,high,0.79
R0110,Morata Cream 0110,Z14,Moratalaz,dessert,1,7.9,2.2,medium,true,lunch_combo,medium,0.96
R0111,Usera Sushi 0111,Z12,Usera,sushi,2,21.4,4.2,medium,false,none,medium,1.08
R0112,Latina Napoli 0112,Z10,Latina,pizza,2,17.2,3.2,medium,false,none,low,1.16
R0113,Golden Zen 0113,Z04,Salamanca,sushi,3,21.6,4.4,small,false,none,medium,0.94
R0114,Metropolitano Garden 0114,Z20,San Blas-Canillejas,healthy,1,12.2,1.8,medium,false,none,medium,0.93
R0115,Aravaca Loco 0115,Z09,Moncloa-Aravaca,mexican,2,11.4,3.2,medium,false,none,high,1.19
R0116,Bernabeu Pizza 0116,Z05,Chamartín,pizza,2,16.3,2.5,small,false,none,high,1.36
R0117,Morata Burrito 0117,Z14,Moratalaz,mexican,3,14.6,2.8,medium,true,taco_tuesday_2x1,low,0.95
R0118,Lineal Grill 0118,Z15,Ciudad Lineal,burger,1,14.1,2.3,small,true,weekend_discount,medium,0.7
R0119,Central Tapas 0119,Z01,Centro,spanish_tapas,2,17.0,2.9,small,false,none,medium,1.07
R0120,Vical Kebab 0120,Z19,Vicálvaro,kebab,1,9.0,1.5,medium,false,none,medium,0.94
R0121,Norte Stack 0121,Z06,Tetuán,burger,1,13.4,2.6,medium,false,random_flash,high,1.06
R0122,Norte Kebab 0122,Z06,Tetuán,kebab,1,10.0,2.0,small,true,healthy_lunch,medium,0.9
R0123,Chamberi Bites 0123,Z07,Chamberí,fast_food,3,9.7,2.2,small,false,none,high,1.1
R0124,Central Mart 0124,Z01,Centro,grocery_convenience,2,6.3,1.5,small,true,healthy_lunch,medium,0.97
R0125,Lineal Brothers 0125,Z15,Ciudad Lineal,kebab,3,10.0,1.6,medium,false,none,medium,1.18
R0126,Bernabeu Oven 0126,Z05,Chamartín,pizza,3,17.2,2.8,small,false,none,high,1.22
R0127,Metropolitano Doner 0127,Z20,San Blas-Canillejas,kebab,1,9.2,1.9,medium,false,none,high,1.09
R0128,Morata Roll 0128,Z14,Moratalaz,sushi,2,18.1,4.1,medium,false,none,low,1.13
R0129,Latina Go 0129,Z10,Latina,fast_food,2,10.2,2.1,small,true,weekend_discount,low,0.76
R0130,Central Oven 0130,Z01,Centro,pizza,1,17.2,2.9,medium,true,lunch_combo,low,0.83
R0131,Lineal Gelato 0131,Z15,Ciudad Lineal,dessert,3,7.7,1.9,medium,false,none,medium,0.95
R0132,Lineal Mesón 0132,Z15,Ciudad Lineal,spanish_tapas,1,17.8,3.2,large,false,none,medium,0.96
R0133,Norte Gelato 0133,Z06,Tetuán,dessert,2,7.6,2.0,medium,true,weekend_discount,high,1.21
R0134,Cara District 0134,Z11,Carabanchel,burger,3,15.1,2.1,small,false,random_flash,low,0.95
R0135,Bernabeu Brothers 0135,Z05,Chamartín,kebab,2,7.8,1.7,small,false,none,medium,0.86
R0136,Cara Mesón 0136,Z11,Carabanchel,spanish_tapas,4,18.4,3.2,medium,true,healthy_lunch,medium,0.96
R0137,Metropolitano Roma 0137,Z20,San Blas-Canillejas,pizza,1,16.5,2.6,medium,false,random_flash,medium,1.0
R0138,Vallecas Taquería 0138,Z13,Puente de Vallecas,mexican,2,13.0,2.6,small,false,none,low,0.91
R0139,Lineal Patty 0139,Z15,Ciudad Lineal,burger,1,13.2,2.9,medium,false,none,low,1.22
R0140,Golden Patty 0140,Z04,Salamanca,burger,3,14.4,2.5,medium,false,none,low,1.35
R0141,Chamberi Slice 0141,Z07,Chamberí,pizza,3,16.2,2.5,medium,false,none,medium,1.01
R0142,River Tapas 0142,Z02,Arganzuela,spanish_tapas,1,18.1,3.5,small,false,none,low,0.86
R0143,Golden Tokyo 0143,Z04,Salamanca,sushi,4,19.8,3.8,small,true,healthy_lunch,medium,1.19
R0144,Bernabeu Box 0144,Z05,Chamartín,fast_food,2,11.1,1.8,medium,false,random_flash,high,1.01
R0145,Usera Sushi 0145,Z12,Usera,sushi,3,21.9,3.4,large,false,none,low,1.01
R0146,Morata Burger 0146,Z14,Moratalaz,burger,1,12.8,2.4,small,false,none,low,1.15
R0147,Central Cantina 0147,Z01,Centro,mexican,3,13.0,2.5,medium,true,taco_tuesday_2x1,low,1.11
R0148,Monte Napoli 0148,Z08,Fuencarral-El Pardo,pizza,2,16.3,2.3,large,true,weekend_discount,medium,0.79
R0149,Norte Bodega 0149,Z06,Tetuán,spanish_tapas,2,17.1,3.2,medium,false,none,medium,1.24
R0150,Central Taquería 0150,Z01,Centro,mexican,1,13.2,2.9,medium,false,none,high,0.9
R0151,Morata Tokyo 0151,Z14,Moratalaz,sushi,1,21.7,3.7,small,false,none,low,0.7
R0152,Chamberi Box 0152,Z07,Chamberí,fast_food,2,10.3,2.3,small,true,weekend_discount,medium,1.35
R0153,Verde Taberna 0153,Z17,Villaverde,spanish_tapas,2,18.6,2.8,medium,false,random_flash,medium,1.25
R0154,Norte Zen 0154,Z06,Tetuán,sushi,2,20.8,4.3,small,false,none,medium,1.07
R0155,Usera Pizza 0155,Z12,Usera,pizza,2,17.1,2.7,medium,false,none,high,0.87
R0156,Cara Napoli 0156,Z11,Carabanchel,pizza,2,15.0,2.4,medium,false,none,high,0.7
R0157,Central Bodega 0157,Z01,Centro,spanish_tapas,3,18.2,2.6,medium,false,none,low,1.09
R0158,Central Hub 0158,Z01,Centro,fast_food,2,10.7,1.7,medium,true,lunch_combo,medium,0.99
R0159,Aravaca Smash 0159,Z09,Moncloa-Aravaca,burger,2,14.2,2.6,large,true,weekend_discount,medium,1.24
R0160,Central District 0160,Z01,Centro,burger,2,15.0,2.7,small,true,lunch_combo,high,1.24
R0161,Monte Churro 0161,Z08,Fuencarral-El Pardo,dessert,2,8.8,2.0,medium,true,weekend_discount,medium,0.89
R0162,Park Tapas 0162,Z03,Retiro,spanish_tapas,3,17.0,3.6,small,false,none,high,0.91
R0163,Norte Garden 0163,Z06,Tetuán,healthy,2,12.2,1.7,large,false,none,medium,0.7
R0164,Usera Napoli 0164,Z12,Usera,pizza,2,17.0,2.7,large,true,weekend_discount,medium,1.43
R0165,Park Smash 0165,Z03,Retiro,burger,3,14.3,2.4,small,true,weekend_discount,medium,1.43
R0166,Metropolitano District 0166,Z20,San Blas-Canillejas,burger,1,13.1,2.1,large,true,weekend_discount,medium,0.96
R0167,Vallecas Grill 0167,Z13,Puente de Vallecas,kebab,1,9.2,2.1,medium,false,random_flash,medium,0.94
R0168,Aravaca Kebab 0168,Z09,Moncloa-Aravaca,kebab,2,8.7,2.1,medium,false,none,low,0.89
R0169,Bernabeu Go 0169,Z05,Chamartín,fast_food,1,10.4,1.9,small,false,none,high,1.2
R0170,Aero Roma 0170,Z21,Barajas,pizza,1,15.2,2.6,medium,true,lunch_combo,medium,1.17
R0171,River Roma 0171,Z02,Arganzuela,pizza,3,13.9,3.3,medium,false,none,low,1.23
R0172,Park Bites 0172,Z03,Retiro,fast_food,2,11.6,1.7,small,true,lunch_combo,medium,0.85
R0173,Aravaca Hub 0173,Z09,Moncloa-Aravaca,fast_food,2,11.7,2.0,medium,false,none,low,0.82
R0174,Verde Garden 0174,Z17,Villaverde,healthy,2,11.3,1.8,medium,true,healthy_lunch,low,1.14
R0175,Morata Stack 0175,Z14,Moratalaz,burger,2,15.6,2.3,medium,true,lunch_combo,low,1.33
R0176,Vallecas Stack 0176,Z13,Puente de Vallecas,burger,2,14.2,2.6,medium,false,random_flash,medium,1.01
R0177,Verde Bites 0177,Z17,Villaverde,fast_food,1,10.3,2.3,medium,false,random_flash,low,1.16
R0178,Chamberi Burrito 0178,Z07,Chamberí,mexican,3,12.1,3.2,medium,false,random_flash,low,1.3
R0179,Usera Corner 0179,Z12,Usera,fast_food,1,10.0,2.1,small,true,weekend_discount,low,0.7
R0180,Monte Garden 0180,Z08,Fuencarral-El Pardo,healthy,1,11.9,2.5,small,true,healthy_lunch,medium,0.96
R0181,Park Garden 0181,Z03,Retiro,healthy,3,11.4,2.4,medium,false,none,low,0.87
R0182,Aravaca Go 0182,Z09,Moncloa-Aravaca,grocery_convenience,2,6.9,1.7,small,false,none,low,1.1
R0183,Vallecas Brothers 0183,Z13,Puente de Vallecas,kebab,1,7.5,1.6,small,false,none,low,1.04
R0184,Morata Roots 0184,Z14,Moratalaz,healthy,2,11.7,2.5,medium,false,random_flash,medium,1.15
R0185,Cara Roma 0185,Z11,Carabanchel,pizza,2,17.6,2.6,small,false,none,medium,0.91
R0186,Chamberi Patty 0186,Z07,Chamberí,burger,2,14.3,2.5,small,true,weekend_discount,low,0.97
R0187,Golden Bites 0187,Z04,Salamanca,fast_food,2,11.0,1.9,medium,false,random_flash,high,1.18
R0188,Metropolitano Express 0188,Z20,San Blas-Canillejas,grocery_convenience,1,7.9,1.5,small,false,none,high,0.85
R0189,Cara Sweet 0189,Z11,Carabanchel,dessert,2,8.1,2.1,small,false,none,medium,1.29
R0190,Horta Market 0190,Z16,Hortaleza,grocery_convenience,3,6.5,1.8,large,false,none,low,1.13
R0191,Central Taco 0191,Z01,Centro,mexican,3,12.5,2.9,medium,false,none,medium,1.27
R0192,Chamberi Burger 0192,Z07,Chamberí,burger,2,13.9,2.6,small,true,lunch_combo,medium,0.84
R0193,Cara Stack 0193,Z11,Carabanchel,burger,3,15.2,2.4,small,false,random_flash,medium,0.8
R0194,Park Slice 0194,Z03,Retiro,pizza,1,15.2,2.5,small,false,random_flash,low,1.13
R0195,Golden Slice 0195,Z04,Salamanca,pizza,1,16.6,2.7,medium,false,none,low,1.2
R0196,Bernabeu Hub 0196,Z05,Chamartín,fast_food,2,11.3,2.0,medium,false,none,high,1.54
R0197,Usera Cream 0197,Z12,Usera,dessert,2,8.5,1.9,medium,false,none,low,0.73
R0198,Monte Napoli 0198,Z08,Fuencarral-El Pardo,pizza,1,17.0,2.5,medium,true,weekend_discount,low,0.7
R0199,Chamberi Roots 0199,Z07,Chamberí,healthy,3,12.7,2.4,medium,false,none,medium,1.22
R0200,Central Tokyo 0200,Z01,Centro,sushi,4,19.1,4.4,medium,true,healthy_lunch,medium,1.3
R0201,Central Market 0201,Z01,Centro,grocery_convenience,3,6.6,1.3,small,false,none,low,1.13
R0202,Metropolitano Roma 0202,Z20,San Blas-Canillejas,pizza,2,16.8,2.3,large,false,none,high,0.91
R0203,Horta Bites 0203,Z16,Hortaleza,fast_food,2,12.3,2.3,medium,false,none,low,1.36
R0204,Vallecas Wasabi 0204,Z13,Puente de Vallecas,sushi,3,21.0,3.6,large,false,none,medium,1.17
R0205,Lineal Pizza 0205,Z15,Ciudad Lineal,pizza,1,17.1,2.7,medium,false,none,medium,1.1
R0206,Central Roll 0206,Z01,Centro,sushi,3,21.3,4.0,small,false,none,low,1.05
R0207,Bernabeu Brothers 0207,Z05,Chamartín,kebab,3,9.1,2.1,medium,false,none,high,1.47
R0208,Aravaca Brothers 0208,Z09,Moncloa-Aravaca,kebab,3,8.6,1.8,large,false,none,low,0.86
R0209,Morata Roma 0209,Z14,Moratalaz,pizza,2,15.8,2.8,small,true,weekend_discount,low,1.11
R0210,Park Sushi 0210,Z03,Retiro,sushi,3,22.7,3.4,small,false,random_flash,low,0.95
R0211,Villa Tapas 0211,Z18,Villa de Vallecas,spanish_tapas,2,18.2,2.9,medium,true,healthy_lunch,medium,0.95
R0212,Lineal Taquería 0212,Z15,Ciudad Lineal,mexican,2,11.2,2.5,large,true,taco_tuesday_2x1,low,1.05
R0213,Metropolitano Corner 0213,Z20,San Blas-Canillejas,fast_food,3,10.7,1.9,small,true,lunch_combo,high,0.74
R0214,Chamberi Shawarma 0214,Z07,Chamberí,kebab,2,8.3,1.5,large,false,none,low,1.08
R0215,Villa Roma 0215,Z18,Villa de Vallecas,pizza,1,17.0,2.3,medium,false,random_flash,low,0.78
R0216,Bernabeu Grill 0216,Z05,Chamartín,burger,2,14.5,2.5,medium,true,lunch_combo,medium,0.92
R0217,Metropolitano Wrap 0217,Z20,San Blas-Canillejas,kebab,2,8.9,1.5,medium,false,random_flash,low,0.83
R0218,Aero Daily 0218,Z21,Barajas,grocery_convenience,1,7.7,1.6,medium,false,none,low,0.7
R0219,Golden Green 0219,Z04,Salamanca,healthy,3,11.8,2.2,large,false,none,medium,1.12
R0220,Central Burrito 0220,Z01,Centro,mexican,1,12.3,3.2,small,false,none,low,1.07
R0221,Lineal Sweet 0221,Z15,Ciudad Lineal,dessert,3,7.6,1.9,small,true,lunch_combo,low,0.98
R0222,Central Go 0222,Z01,Centro,grocery_convenience,2,7.4,1.6,medium,false,none,low,1.09
R0223,Morata Corner 0223,Z14,Moratalaz,fast_food,2,10.1,2.2,small,false,none,low,1.04
R0224,Bernabeu Market 0224,Z05,Chamartín,grocery_convenience,2,7.3,1.7,medium,false,none,high,1.04
R0225,Villa Fresh 0225,Z18,Villa de Vallecas,healthy,3,11.8,2.5,small,false,none,low,0.98
R0226,Vallecas Garden 0226,Z13,Puente de Vallecas,healthy,3,11.7,2.2,medium,false,none,low,1.22
R0227,Norte Roots 0227,Z06,Tetuán,healthy,2,10.1,1.7,medium,false,none,medium,1.0
R0228,Morata Go 0228,Z14,Moratalaz,grocery_convenience,3,6.7,1.7,medium,false,random_flash,low,1.23
R0229,Norte Stack 0229,Z06,Tetuán,burger,2,15.0,2.7,medium,true,weekend_discount,medium,1.13
R0230,Usera Brothers 0230,Z12,Usera,kebab,2,8.8,2.1,medium,false,none,medium,1.06
R0231,River Roll 0231,Z02,Arganzuela,sushi,2,20.7,3.8,small,false,none,medium,1.02
R0232,Norte Roma 0232,Z06,Tetuán,pizza,2,15.8,3.4,small,false,random_flash,medium,0.77
R0233,Park Smash 0233,Z03,Retiro,burger,2,14.8,2.3,medium,true,weekend_discount,medium,1.07
R0234,Golden Grill 0234,Z04,Salamanca,kebab,2,8.7,1.4,small,false,none,medium,1.13
R0235,Horta Wasabi 0235,Z16,Hortaleza,sushi,2,23.3,3.4,small,false,none,medium,0.7
R0236,Bernabeu Mart 0236,Z05,Chamartín,grocery_convenience,1,6.8,1.5,small,false,none,medium,0.9
R0237,Norte Bites 0237,Z06,Tetuán,fast_food,1,11.4,2.2,small,false,none,low,1.0
R0238,Golden Mesón 0238,Z04,Salamanca,spanish_tapas,2,19.0,3.2,small,false,none,medium,0.84
R0239,Park Wasabi 0239,Z03,Retiro,sushi,2,22.5,3.8,medium,false,none,low,0.99
R0240,Monte Bodega 0240,Z08,Fuencarral-El Pardo,spanish_tapas,2,18.5,3.5,small,false,random_flash,low,0.78
R0241,Park Grill 0241,Z03,Retiro,kebab,4,8.7,2.0,large,false,none,high,0.84
R0242,Golden Azteca 0242,Z04,Salamanca,mexican,2,12.8,2.6,medium,false,random_flash,medium,0.98
R0243,Park Go 0243,Z03,Retiro,grocery_convenience,1,5.9,1.3,large,true,healthy_lunch,medium,1.23
R0244,Chamberi Patty 0244,Z07,Chamberí,burger,2,15.0,2.4,small,true,weekend_discount,low,1.27
R0245,Central Pizza 0245,Z01,Centro,pizza,2,17.4,2.5,small,true,weekend_discount,low,1.54
R0246,Metropolitano Patty 0246,Z20,San Blas-Canillejas,burger,2,14.5,2.3,medium,false,none,medium,1.24
